      table_name      |           column_name           |          data_type          | is_nullable |   column_default   
----------------------+---------------------------------+-----------------------------+-------------+--------------------
 admins               | id                              | uuid                        | NO          | 
 admins               | created_at                      | timestamp without time zone | YES         | 
 admins               | email                           | character varying           | NO          | 
 admins               | full_name                       | character varying           | YES         | 
 admins               | is_active                       | boolean                     | NO          | 
 admins               | password                        | character varying           | NO          | 
 admins               | permissions                     | text                        | YES         | 
 admins               | updated_at                      | timestamp without time zone | YES         | 
 admins               | username                        | character varying           | NO          | 
 brands               | id                              | bigint                      | NO          | 
 brands               | country                         | character varying           | YES         | 
 brands               | description                     | text                        | YES         | 
 brands               | logo_url                        | character varying           | YES         | 
 brands               | name                            | character varying           | NO          | 
 cart_items           | id                              | uuid                        | NO          | 
 cart_items           | created_at                      | timestamp without time zone | YES         | 
 cart_items           | quantity                        | integer                     | NO          | 
 cart_items           | cart_id                         | uuid                        | NO          | 
 cart_items           | product_id                      | uuid                        | NO          | 
 carts                | id                              | uuid                        | NO          | 
 carts                | created_at                      | timestamp without time zone | YES         | 
 carts                | updated_at                      | timestamp without time zone | YES         | 
 carts                | user_id                         | uuid                        | NO          | 
 categories           | id                              | bigint                      | NO          | 
 categories           | description                     | text                        | YES         | 
 categories           | name                            | character varying           | NO          | 
 conversations        | id                              | uuid                        | NO          | 
 conversations        | created_at                      | timestamp without time zone | YES         | 
 conversations        | is_active                       | boolean                     | NO          | 
 conversations        | title                           | character varying           | YES         | 
 conversations        | updated_at                      | timestamp without time zone | YES         | 
 conversations        | user_id                         | uuid                        | NO          | 
 deliveries           | id                              | uuid                        | NO          | 
 deliveries           | actual_delivery                 | timestamp without time zone | YES         | 
 deliveries           | address                         | text                        | YES         | 
 deliveries           | created_at                      | timestamp without time zone | YES         | 
 deliveries           | current_location                | text                        | YES         | 
 deliveries           | delivery_notes                  | text                        | YES         | 
 deliveries           | driver_name                     | character varying           | YES         | 
 deliveries           | driver_phone                    | character varying           | YES         | 
 deliveries           | estimated_delivery              | timestamp without time zone | YES         | 
 deliveries           | pickup_time                     | timestamp without time zone | YES         | 
 deliveries           | status                          | character varying           | NO          | 
 deliveries           | tracking_number                 | character varying           | NO          | 
 deliveries           | updated_at                      | timestamp without time zone | YES         | 
 deliveries           | order_id                        | uuid                        | NO          | 
 messages             | id                              | uuid                        | NO          | 
 messages             | attachment_url                  | character varying           | YES         | 
 messages             | content                         | text                        | NO          | 
 messages             | created_at                      | timestamp without time zone | YES         | 
 messages             | is_read                         | boolean                     | NO          | 
 messages             | sender_id                       | uuid                        | YES         | 
 messages             | sender_type                     | character varying           | NO          | 
 messages             | conversation_id                 | uuid                        | NO          | 
 order_items          | id                              | uuid                        | NO          | 
 order_items          | price                           | numeric                     | NO          | 
 order_items          | quantity                        | integer                     | NO          | 
 order_items          | order_id                        | uuid                        | NO          | 
 order_items          | product_id                      | uuid                        | NO          | 
 orders               | id                              | uuid                        | NO          | 
 orders               | created_at                      | timestamp without time zone | YES         | 
 orders               | delivered_at                    | timestamp without time zone | YES         | 
 orders               | delivery_address                | text                        | YES         | 
 orders               | notes                           | text                        | YES         | 
 orders               | payment_method                  | character varying           | YES         | 
 orders               | payment_status                  | character varying           | YES         | 
 orders               | status                          | character varying           | NO          | 
 orders               | total_price                     | numeric                     | NO          | 
 orders               | tracking_number                 | character varying           | YES         | 
 orders               | updated_at                      | timestamp without time zone | YES         | 
 orders               | user_id                         | uuid                        | NO          | 
 payments             | id                              | uuid                        | NO          | 
 payments             | amount                          | numeric                     | NO          | 
 payments             | card_brand                      | character varying           | YES         | 
 payments             | card_last4                      | character varying           | YES         | 
 payments             | created_at                      | timestamp without time zone | YES         | 
 payments             | currency                        | character varying           | NO          | 
 payments             | failure_message                 | text                        | YES         | 
 payments             | metadata                        | text                        | YES         | 
 payments             | payment_method                  | character varying           | YES         | 
 payments             | receipt_url                     | character varying           | YES         | 
 payments             | refund_amount                   | numeric                     | YES         | 
 payments             | refund_reason                   | text                        | YES         | 
 payments             | refunded_at                     | timestamp without time zone | YES         | 
 payments             | status                          | character varying           | NO          | 
 payments             | stripe_payment_intent_id        | character varying           | NO          | 
