      table_name      
----------------------
 admins
 brands
 cart_items
 carts
 categories
 conversations
 deliveries
 messages
 order_items
 orders
 payments
 product_images
 products
 purchase_order_items
 purchase_orders
 reclamations
 recommendations
 reorder_settings
 reports
 roles
 stock_alerts
 stock_movements
 super_admins
 supplier_products
 suppliers
 users
 vehicles
(27 rows)

      table_name      |           column_name           |          data_type          | character_maximum_length | is_nullable |   column_default   
----------------------+---------------------------------+-----------------------------+--------------------------+-------------+--------------------
 admins               | id                              | uuid                        |                          | NO          | 
 admins               | created_at                      | timestamp without time zone |                          | YES         | 
 admins               | email                           | character varying           |                      255 | NO          | 
 admins               | full_name                       | character varying           |                      255 | YES         | 
 admins               | is_active                       | boolean                     |                          | NO          | 
 admins               | password                        | character varying           |                      255 | NO          | 
 admins               | permissions                     | text                        |                          | YES         | 
 admins               | updated_at                      | timestamp without time zone |                          | YES         | 
 admins               | username                        | character varying           |                      100 | NO          | 
 brands               | id                              | bigint                      |                          | NO          | 
 brands               | country                         | character varying           |                      255 | YES         | 
 brands               | description                     | text                        |                          | YES         | 
 brands               | logo_url                        | character varying           |                      255 | YES         | 
 brands               | name                            | character varying           |                      255 | NO          | 
 cart_items           | id                              | uuid                        |                          | NO          | 
 cart_items           | created_at                      | timestamp without time zone |                          | YES         | 
 cart_items           | quantity                        | integer                     |                          | NO          | 
 cart_items           | cart_id                         | uuid                        |                          | NO          | 
 cart_items           | product_id                      | uuid                        |                          | NO          | 
 carts                | id                              | uuid                        |                          | NO          | 
 carts                | created_at                      | timestamp without time zone |                          | YES         | 
 carts                | updated_at                      | timestamp without time zone |                          | YES         | 
 carts                | user_id                         | uuid                        |                          | NO          | 
 categories           | id                              | bigint                      |                          | NO          | 
 categories           | description                     | text                        |                          | YES         | 
 categories           | name                            | character varying           |                      255 | NO          | 
 conversations        | id                              | uuid                        |                          | NO          | 
 conversations        | created_at                      | timestamp without time zone |                          | YES         | 
 conversations        | is_active                       | boolean                     |                          | NO          | 
 conversations        | title                           | character varying           |                      255 | YES         | 
 conversations        | updated_at                      | timestamp without time zone |                          | YES         | 
 conversations        | user_id                         | uuid                        |                          | NO          | 
 deliveries           | id                              | uuid                        |                          | NO          | 
 deliveries           | actual_delivery                 | timestamp without time zone |                          | YES         | 
 deliveries           | address                         | text                        |                          | YES         | 
 deliveries           | created_at                      | timestamp without time zone |                          | YES         | 
 deliveries           | current_location                | text                        |                          | YES         | 
 deliveries           | delivery_notes                  | text                        |                          | YES         | 
 deliveries           | driver_name                     | character varying           |                      255 | YES         | 
 deliveries           | driver_phone                    | character varying           |                       20 | YES         | 
 deliveries           | estimated_delivery              | timestamp without time zone |                          | YES         | 
 deliveries           | pickup_time                     | timestamp without time zone |                          | YES         | 
 deliveries           | status                          | character varying           |                       50 | NO          | 
 deliveries           | tracking_number                 | character varying           |                      255 | NO          | 
 deliveries           | updated_at                      | timestamp without time zone |                          | YES         | 
 deliveries           | order_id                        | uuid                        |                          | NO          | 
 messages             | id                              | uuid                        |                          | NO          | 
 messages             | attachment_url                  | character varying           |                      255 | YES         | 
 messages             | content                         | text                        |                          | NO          | 
 messages             | created_at                      | timestamp without time zone |                          | YES         | 
 messages             | is_read                         | boolean                     |                          | NO          | 
 messages             | sender_id                       | uuid                        |                          | YES         | 
 messages             | sender_type                     | character varying           |                       50 | NO          | 
 messages             | conversation_id                 | uuid                        |                          | NO          | 
 order_items          | id                              | uuid                        |                          | NO          | 
 order_items          | price                           | numeric                     |                          | NO          | 
 order_items          | quantity                        | integer                     |                          | NO          | 
 order_items          | order_id                        | uuid                        |                          | NO          | 
 order_items          | product_id                      | uuid                        |                          | NO          | 
 orders               | id                              | uuid                        |                          | NO          | 
 orders               | created_at                      | timestamp without time zone |                          | YES         | 
 orders               | delivered_at                    | timestamp without time zone |                          | YES         | 
 orders               | delivery_address                | text                        |                          | YES         | 
 orders               | notes                           | text                        |                          | YES         | 
 orders               | payment_method                  | character varying           |                       50 | YES         | 
 orders               | payment_status                  | character varying           |                       50 | YES         | 
 orders               | status                          | character varying           |                       50 | NO          | 
 orders               | total_price                     | numeric                     |                          | NO          | 
